,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
ADM,0.7797337770462036,-0.8769777417182922,0.9348785877227783,-0.49840837717056274,-0.15627038478851318,0.9695432186126709,-0.030068829655647278,-0.008456552401185036,-0.15421509742736816,0.1267545074224472,0.12800472974777222,0.34003114700317383,0.07601837813854218,-0.12056022882461548,-0.04433169588446617,-0.20834434032440186,-0.7184985280036926,0.38482147455215454
ADP,0.7792625427246094,-0.6887430548667908,0.7828033566474915,-0.06911283731460571,-0.37825116515159607,1.015121579170227,-0.9469394683837891,0.07238777726888657,-0.7038726806640625,0.9115909934043884,-0.547846794128418,0.45268702507019043,0.5726903676986694,-0.012695495039224625,1.0401620864868164,-0.4307343363761902,-0.4798285663127899,0.02130764350295067
ADSK,0.7162336111068726,-0.6352134943008423,0.9208622574806213,-0.3511354923248291,0.29650476574897766,1.3617981672286987,-0.2198699414730072,0.8767029643058777,-0.754876434803009,0.1891276091337204,0.19772624969482422,0.04697700962424278,-0.8227927088737488,-0.1730886846780777,0.06198380887508392,-0.9412156343460083,-0.07281690835952759,0.0904100090265274
AEE,0.004611460492014885,-0.39527925848960876,0.45816078782081604,-0.4759754240512848,-0.041266512125730515,0.5533696413040161,-0.6909669041633606,0.508284330368042,-0.3990999460220337,0.06731439381837845,-0.7736020088195801,0.3607713580131531,0.624342143535614,0.4011419117450714,0.3837641477584839,0.004571264144033194,-0.49409541487693787,-0.1315537989139557
AEP,0.018241366371512413,-0.40100687742233276,0.11026221513748169,-0.3202246427536011,0.010905631817877293,0.4639599323272705,-0.41383859515190125,0.291774183511734,-0.3816215991973877,-0.1742440015077591,-0.43371114134788513,0.29637324810028076,0.5024930834770203,-0.07387077063322067,0.36192023754119873,0.04125312715768814,-0.50095534324646,0.21054479479789734
AES,0.9272522926330566,-0.08192260563373566,-0.11310822516679764,-0.5595122575759888,0.463142067193985,0.24569590389728546,-0.44543910026550293,0.12789390981197357,-0.5329583883285522,1.4743117094039917,0.03184124827384949,0.5418429374694824,-0.5100884437561035,-0.021864553913474083,0.3736855983734131,-0.46002861857414246,0.5117672681808472,-0.2788851857185364
AFL,0.9182372689247131,-0.9679617881774902,1.0481277704238892,-0.34683957695961,-0.2856156826019287,0.2479790300130844,-0.4531642496585846,0.3008064925670624,-0.7613057494163513,0.6740708947181702,0.01884172298014164,-0.23752190172672272,0.2602439820766449,1.3687101602554321,-0.6378468871116638,-0.03440438210964203,-0.3299960494041443,-0.0639692023396492
AIG,0.8891534209251404,-1.2168574333190918,1.0306321382522583,0.3672145903110504,-0.9215143322944641,0.9613526463508606,-0.6795116066932678,0.29789987206459045,-0.7452822327613831,0.9608017206192017,-0.03816596791148186,-0.2013038992881775,0.27618011832237244,0.9441344141960144,-0.025276008993387222,-0.8760552406311035,-1.0991597175598145,-0.39077848196029663
AIZ,0.43640998005867004,-0.7887697815895081,1.1222120523452759,-0.7670542597770691,0.39408639073371887,0.5248226523399353,-0.9888384342193604,0.3835192918777466,-0.4889633059501648,0.8526060581207275,0.13796472549438477,0.3166534900665283,0.23518222570419312,0.005248147062957287,0.3290208578109741,1.032416820526123,-1.3626906871795654,-0.09996795654296875
AJG,0.43838539719581604,-0.01916562020778656,0.2859809398651123,-0.1672789454460144,-0.2900826930999756,0.5210480093955994,-0.4151715338230133,0.6263775825500488,-1.056897759437561,0.7302162647247314,0.27113577723503113,0.19152173399925232,0.7715550661087036,-0.2296333760023117,0.3998129069805145,0.009318476542830467,-0.0006741671240888536,0.0754188671708107
AKAM,0.8514025807380676,-1.1788430213928223,0.17166098952293396,0.003916102461516857,-0.2783045172691345,0.5117597579956055,-0.3837028443813324,0.0379512757062912,0.49226075410842896,0.21846537292003632,-0.7913335561752319,0.7171924710273743,0.44652125239372253,0.14578787982463837,0.3134148120880127,-0.012636784464120865,-0.22985486686229706,0.31967711448669434
ALB,-0.4963569641113281,-0.4453706741333008,-0.407062292098999,0.4941931366920471,-1.2318615913391113,1.196703553199768,-0.1542637199163437,-0.4980302155017853,0.8422664999961853,0.19588835537433624,-0.7549542784690857,-0.19482116401195526,0.4684642255306244,-0.28629517555236816,0.7715879678726196,-0.04403536394238472,-1.200251817703247,0.4255122244358063
ALGN,1.1088433265686035,-0.7850274443626404,1.075947642326355,-0.764885425567627,0.13759364187717438,0.8165114521980286,-1.6832646131515503,1.0741360187530518,-0.9092774987220764,0.9452354311943054,2.020575761795044,-0.9771475195884705,0.30249515175819397,-0.6944701671600342,0.8609815239906311,-0.6495466232299805,-0.9235078692436218,0.20610620081424713
ALK,1.968273639678955,-0.343157559633255,1.4126049280166626,0.19580179452896118,-0.2917959988117218,-0.6992993354797363,-0.22407257556915283,-0.1411905139684677,-0.856634795665741,0.16893552243709564,-0.43252208828926086,0.2759982943534851,0.7485306859016418,-1.087119221687317,-0.26239338517189026,-0.15094222128391266,-0.6553214192390442,-0.2790238857269287
