,0,1,2,3,4,5,6,7
CERN,0.13201959431171417,0.30961012840270996,0.0119164502248168,0.2900065779685974,0.006885877810418606,0.03880566358566284,0.7558154463768005,0.26275181770324707
CF,0.13576382398605347,0.29304370284080505,0.015675446018576622,0.36378246545791626,0.03319181501865387,0.05379435047507286,0.7612677216529846,0.2131885290145874
CFG,0.13926270604133606,0.286647230386734,0.029215017333626747,0.3606575131416321,0.08588075637817383,0.059409793466329575,0.6190647482872009,0.21465958654880524
CHD,0.12744566798210144,0.33602795004844666,0.021478665992617607,0.2811480462551117,0.006705605890601873,0.014121019281446934,0.6966564655303955,0.2687808871269226
CHRW,0.10706868022680283,0.33623385429382324,0.005817440804094076,0.2553868293762207,0.003000847063958645,0.03880106285214424,0.7287663817405701,0.2664889395236969
CHTR,0.12230271100997925,0.27810943126678467,0.09472089260816574,0.2919721007347107,0.036176711320877075,0.05780172720551491,0.7150362133979797,0.2606411278247833
CI,0.10260556638240814,0.24871963262557983,0.0826534777879715,0.35686373710632324,0.08864069730043411,0.04009725898504257,0.7936545014381409,0.25464779138565063
CINF,0.14180625975131989,0.3059675395488739,0.018078899011015892,0.28422674536705017,0.009012890979647636,0.011312075890600681,0.6899616122245789,0.2501208782196045
CL,0.13506828248500824,0.3922007977962494,0.0,0.2872970998287201,0.002978359116241336,0.01587771624326706,0.6653706431388855,0.26892492175102234
CLX,0.13261623680591583,0.39470186829566956,0.01028544269502163,0.28582826256752014,0.009450300596654415,0.03869107365608215,0.6761388182640076,0.25507086515426636
CMA,0.13634321093559265,0.2875220775604248,0.04078102111816406,0.3749713599681854,0.09681381285190582,0.04428943619132042,0.6738760471343994,0.20223189890384674
CMCSA,0.11606748402118683,0.3077651262283325,0.0358702726662159,0.26208144426345825,0.015214904211461544,0.014740142971277237,0.7789110541343689,0.28307044506073
CME,0.13732516765594482,0.3213593065738678,0.029252978041768074,0.32430973649024963,0.04649444296956062,0.01181782130151987,0.7510428428649902,0.241937518119812
CMG,0.17536669969558716,0.24437245726585388,0.10555467754602432,0.27126118540763855,0.04075244441628456,0.1396564245223999,0.632687509059906,0.28014999628067017
CMI,0.132322296500206,0.28791648149490356,0.022349270060658455,0.2902076244354248,0.030417807400226593,0.02967657707631588,0.7201211452484131,0.23202335834503174
CMS,0.16219444572925568,0.40448689460754395,0.014699636958539486,0.27724164724349976,0.007484600879251957,0.023369846865534782,0.6558763980865479,0.25626909732818604
CNC,0.16450534760951996,0.24642528593540192,0.036730218678712845,0.28622937202453613,0.03292999416589737,0.04863936826586723,0.7801474332809448,0.2558174729347229
CNP,0.11192654818296432,0.32013556361198425,0.07857634127140045,0.37125638127326965,0.11156074702739716,0.031270336359739304,0.6998662948608398,0.26449838280677795
COF,0.1460123211145401,0.3004121482372284,0.03113687038421631,0.34053316712379456,0.06443961709737778,0.06864199787378311,0.6654269099235535,0.23338034749031067
COO,0.14794112741947174,0.301455557346344,0.025507425889372826,0.27243009209632874,0.00917336717247963,0.0373145192861557,0.693733274936676,0.26751333475112915
COP,0.15497738122940063,0.28756970167160034,0.06026166304945946,0.36755886673927307,0.11684872210025787,0.06899148970842361,0.8115907311439514,0.1928858906030655
COST,0.12998001277446747,0.36650538444519043,0.010475434362888336,0.274497926235199,0.0,0.01990414224565029,0.6448330283164978,0.2564246952533722
CPB,0.22283560037612915,0.31867796182632446,0.020083919167518616,0.22681424021720886,0.012648820877075195,0.019601672887802124,0.7161827087402344,0.28097817301750183
CPRT,0.19449342787265778,0.35038527846336365,0.03734312951564789,0.31139448285102844,0.01987413503229618,0.05017117038369179,0.6671926379203796,0.24724161624908447
CRL,0.1136799305677414,0.3083599805831909,0.0689028725028038,0.322246253490448,0.04936925694346428,0.04017107933759689,0.6631884574890137,0.24441753327846527
CRM,0.11217430979013443,0.25934624671936035,0.06173788756132126,0.28510788083076477,0.038484930992126465,0.056417547166347504,0.6991111040115356,0.23620958626270294
CSCO,0.1636892855167389,0.34583306312561035,0.021049506962299347,0.2372216284275055,0.007998245768249035,0.014392954297363758,0.6475887298583984,0.22922489047050476
CSX,0.1334693282842636,0.29852166771888733,0.012805839069187641,0.2685403525829315,0.006500424817204475,0.04929247498512268,0.7364063858985901,0.29651349782943726
CTAS,0.1548791080713272,0.34119725227355957,0.032450977712869644,0.30347543954849243,0.04714095965027809,0.06270302087068558,0.6429865956306458,0.2775532603263855
CTLT,0.16997599601745605,0.2959900200366974,0.02614160068333149,0.22199535369873047,0.015699021518230438,0.050731297582387924,0.6918082237243652,0.2711244225502014
CTRA,0.09799101203680038,0.23677772283554077,0.04499922692775726,0.3166230022907257,0.025018304586410522,0.01806320995092392,0.7807420492172241,0.25582078099250793
CTSH,0.15190967917442322,0.2794710099697113,0.01996469870209694,0.29215574264526367,0.020827999338507652,0.016079353168606758,0.7205843925476074,0.25077950954437256
CTXS,0.12456505745649338,0.3399147093296051,0.022938117384910583,0.27138930559158325,0.009358042851090431,0.006445857230573893,0.7394539713859558,0.2639904022216797
CVS,0.11964249610900879,0.3044837415218353,0.030037740245461464,0.2748555839061737,0.00887724943459034,0.015456408262252808,0.7546418309211731,0.28723835945129395
CVX,0.14786452054977417,0.30950990319252014,0.04296998307108879,0.3609883487224579,0.08580233156681061,0.039452217519283295,0.7612918019294739,0.25828829407691956
CZR,0.23292450606822968,0.20522883534431458,0.28351813554763794,0.45705366134643555,0.42361611127853394,0.4400407373905182,0.6949653029441833,0.18872828781604767
D,0.144997239112854,0.40139901638031006,0.04032827913761139,0.26811137795448303,0.00577044440433383,0.02720513939857483,0.649207592010498,0.27610719203948975
DAL,0.10034391283988953,0.30316290259361267,0.09690526127815247,0.4248858690261841,0.1489441990852356,0.11003827303647995,0.6489073038101196,0.21856921911239624
DD,0.1426447331905365,0.33198082447052,0.021906808018684387,0.3419698476791382,0.04116781800985336,0.02507469244301319,0.6806274652481079,0.21150393784046173
DE,0.18957364559173584,0.24981629848480225,0.02413591556251049,0.21737146377563477,0.004811480175703764,0.047334376722574234,0.7571133375167847,0.26083505153656006
DFS,0.16288353502750397,0.2940511703491211,0.02549505978822708,0.3225758373737335,0.05836395174264908,0.09170231223106384,0.6518458724021912,0.2268242985010147
DG,0.12823861837387085,0.3327751159667969,0.002690540626645088,0.26368850469589233,0.0,0.05742718279361725,0.645593523979187,0.2237544059753418
DGX,0.12275932729244232,0.39068707823753357,0.0254548080265522,0.3111841678619385,0.025868993252515793,0.01198543794453144,0.6528561115264893,0.2363310158252716
DHI,0.08598162978887558,0.24573859572410583,0.08700735121965408,0.35250723361968994,0.0832555890083313,0.05273299291729927,0.7245403528213501,0.23633752763271332
DHR,0.13508319854736328,0.3373294770717621,0.023303965106606483,0.30545756220817566,0.006173989735543728,0.02239588275551796,0.7209311127662659,0.2571200430393219
DIS,0.13829591870307922,0.3133241832256317,0.03249336779117584,0.2414441704750061,0.017085809260606766,0.017674356698989868,0.8208557367324829,0.27732518315315247
DISCA,0.1516488939523697,0.31342896819114685,0.05942428857088089,0.3313155174255371,0.049339618533849716,0.1132533997297287,0.6712865233421326,0.1887139081954956
DISCK,0.14911554753780365,0.26971498131752014,0.05573040619492531,0.3272336423397064,0.037516769021749496,0.08846982568502426,0.6896435618400574,0.19657939672470093
DISH,0.1491595059633255,0.2807662785053253,0.10361672192811966,0.3039659559726715,0.06551311910152435,0.058398906141519547,0.7136620283126831,0.26781266927719116
DLR,0.13587671518325806,0.33507269620895386,0.006089332047849894,0.26673486828804016,0.0012295425403863192,0.02036980167031288,0.6735028624534607,0.22156497836112976
DLTR,0.11787215620279312,0.2611343264579773,0.007141330745071173,0.28139686584472656,0.04293301701545715,0.011394833214581013,0.7829011082649231,0.2256210595369339
