,mean_return,std_return,median_return,share_positive_return,max_drawdown,rec_period,beta,alpha,sharp,VaR,CVaR,CAPM,coef_var,IR
O,0.00045004618545468753,0.022156531690889894,0.0014791669277563501,0.5432242990654206,-48.44735490189167,110,0.9591664556479653,-0.00019426643052279554,0.014939096561903018,-0.025681731784734124,-0.05106972315748743,0.0006491737522098682,1.0908033718215686,-0.012696529000516984
ODFL,0.0017803631846066623,0.020471585466918202,0.002676802248538,0.5619158878504673,-28.677119329554234,61,0.9542386117357412,0.001139360809498757,0.08115226679651687,-0.0303977464988276,-0.04455325918619041,0.0006464501594250791,0.23539343834607862,0.07229654103218848
OKE,0.0006737012157199426,0.035139317742550594,0.0009492135120095501,0.5233644859813084,-80.17285790616216,73,1.4109257234938208,-0.0002740771792616657,0.015784415643354602,-0.039062452574601,-0.08437387187872772,0.0008988586659942489,1.8328179059205156,6.659992855824323e-05
OMC,0.0003449210121734773,0.021321584458401058,0.00025220622641125,0.5070093457943925,-45.97145092513455,464,0.9276788290022479,-0.00027824003519403076,0.010593649527620371,-0.031246497167249025,-0.049474792601720656,0.0006317707105815262,1.3180117991422466,-0.019483845240514452
ORCL,0.0008075029776502791,0.019477348793527482,0.00114764204495095,0.5338785046728972,-33.83208939747549,298,0.9282408579458483,0.0001839643917056305,0.03534646146663661,-0.025928692819678797,-0.04285922397996241,0.0006320813409510953,0.46980274565504615,0.009459278831388954
ORLY,0.0010017906830001976,0.01868949758258863,0.0007214920432321,0.5257009345794392,-42.00359978390972,168,0.849317263314795,0.0004312684086870143,0.0472320382103237,-0.02369083969740985,-0.04273890826411258,0.0005884606953471365,0.34867295715258445,0.022892182006808814
OXY,0.0008443340795119979,0.045457691692302786,-0.00026017969682455,0.4894859813084112,-87.95442218203975,6,1.5627345936396424,-0.00020542074477057377,0.015955197755613035,-0.056241081571760575,-0.09405253974859572,0.000982762610754043,2.447374545377557,0.004269064103140665
PAYC,0.0016423113999879061,0.030702499193295683,0.00283027345413895,0.5595794392523364,-51.14289119499078,168,1.5014672965828377,0.0006337124065917178,0.049613673836458004,-0.04841230845218782,-0.07268832087637861,0.0009489005057077553,0.5739736427094543,0.041891190562805
PAYX,0.000963036266635922,0.019428526213451792,0.00113718558842775,0.5478971962616822,-44.15383185755326,182,1.1101125670422176,0.00021732677284711313,0.04344069325258176,-0.024123416702756376,-0.044453894750121715,0.0007326008548552117,0.39195577976035445,0.025495393328672778
PBCT,0.0007189029487857967,0.027224020241408093,0.0,0.49649532710280375,-46.87150596898876,497,1.137923362658102,-4.548823092954989e-05,0.022034046566928044,-0.039824850951762227,-0.05733407763779921,0.0007479717317798583,1.0309420476802478,0.002146893517063056
PCAR,0.0006674982535614826,0.017943813534828476,0.0007998857594281,0.5198598130841121,-39.8312215990143,150,0.867905998364305,8.448914087218944e-05,0.030564887082076234,-0.027350889842439552,-0.03812804342708286,0.000598734589074495,0.48236896868979795,-0.00032260522723906817
PEAK,0.0005448971711885253,0.02287552224993419,0.0015310675083778,0.5362149532710281,-47.403109405677476,54,1.0077131016150294,-0.00013202627711715988,0.018615948850834712,-0.030337283736897397,-0.05441184090455223,0.0006760052219229437,0.9603454484188996,-0.007117597447191685
PEG,0.00037174794121637927,0.016524541833250823,0.0006286913832331501,0.5198598130841121,-41.77855029094658,365,0.706945171228678,-0.0001031369861545328,0.015292425334315442,-0.0244968639131352,-0.03974252633596077,0.0005097724069865457,0.734531257672572,-0.02180458758872712
PENN,0.0020783406974913877,0.052054911667072164,-0.0007746690417338,0.49065420560747663,-88.19226717590418,218,1.7716030758906112,0.0008882800927033302,0.03763896653931196,-0.06277655746045122,-0.1118505688175939,0.001098203095753461,1.3037871182224272,0.030039621844781927
PEP,0.000569396931111903,0.015002340479057958,0.00066413012242635,0.5420560747663551,-29.294512265319128,219,0.7538370093695627,6.301277571582424e-05,0.030018603610079027,-0.020047863713026325,-0.03423790383701331,0.0005356892733282736,0.3952782453710629,-0.009250972520329692
PFE,0.0004641736274943246,0.017651653624051137,0.0,0.49649532710280375,-38.37335006432363,669,0.6089140890517832,5.514031809083727e-05,0.019552049671791458,-0.025223512785068625,-0.03920644682711209,0.00045559115594494173,0.6712593245450752,-0.012693263629576335
PFG,0.0007231888634534453,0.026911902373596207,0.00130201332593335,0.5198598130841121,-60.1845752704266,407,1.3943687246467042,-0.00021346749616391004,0.022448849435429023,-0.03878919588104893,-0.06075545294916804,0.0008897077019213192,1.001467978789743,0.0027041025842154624
PG,0.0007368507626121038,0.014257275210437887,0.0009703569630415501,0.5502336448598131,-23.15557856122116,211,0.6119282511430215,0.0003257927132372067,0.043332483552830994,-0.018640368554882877,-0.03408813068763046,0.000457257067095966,0.27586304682047663,0.00517965675380428
PGR,0.0007044475532324482,0.01756359116553415,0.0008635759417444,0.5315420560747663,-22.311461467350846,252,0.719213225289196,0.0002213216558420564,0.03333030976794693,-0.023749290813548624,-0.041571697577562045,0.0005165528943797734,0.43790305355527215,0.00220645760929028
PH,0.0010716382378459283,0.025067169613936575,0.0004540208207496,0.5186915887850467,-54.682275124587186,159,1.3759330413133657,0.00014736590530321813,0.03800152284718647,-0.03285595878193508,-0.05698019140683502,0.0008795183990530238,0.5863573828019808,0.0241742414305248
PHM,0.0013019767159370519,0.02826236164544979,0.0017004235555165498,0.5315420560747663,-62.239250864254636,133,1.2090095566505858,0.0004898339375899134,0.04185528130059446,-0.04007499003609723,-0.06573019556404781,0.0007872606882696879,0.613498748480545,0.027870470000523256
PKG,0.0008899317833514723,0.02028561196907513,0.00079984079680545,0.5292056074766355,-33.08165039542557,231,0.8891173171017344,0.00029267413206539024,0.038001523714396454,-0.0292936034205443,-0.042882368192824434,0.0006104579706787327,0.46240179377587504,0.01369296162918617
PKI,0.0010820765778916548,0.01981169849005297,0.00225382421409905,0.5572429906542056,-34.4244599595543,192,0.8405251632982228,0.0005174603284694132,0.04860910634833011,-0.03133656807859207,-0.048115866368241514,0.000583601349029596,0.36273162646726037,0.025717529067372045
PLD,0.0012541639062717941,0.01902830211831185,0.00210275342340765,0.5700934579439252,-36.69253494947623,117,0.9684173952820998,0.0006036370434544418,0.05965410261863553,-0.02524449845120345,-0.044593108301295765,0.0006542866967123404,0.28869933163846323,0.04434922650542179
PM,0.00023604636489209482,0.01816521758096951,0.00110960761493225,0.5362149532710281,-34.74051011602356,521,0.7736864759200404,-0.0002836715154727706,0.0064408116953714655,-0.025899687848126126,-0.04675717343365345,0.0005466599665648606,1.3979250640644567,-0.029431543716108146
PNC,0.000831057611090614,0.023602877811591226,0.0007258778002796,0.5175233644859814,-49.959663391952645,262,1.2259191178911097,7.555966330082052e-06,0.03016623641094017,-0.032427476195910576,-0.054598652200557395,0.0007966065116782571,0.6703456337495268,0.009821454275933634
PNR,0.0006883876333990006,0.02149814850977631,0.0014376549875206,0.5432242990654206,-51.681116643905334,181,1.1004317839872642,-5.08188695709375e-05,0.02648321152365626,-0.030311437847808324,-0.04938045810807578,0.0007272503382095496,0.67138101692265,0.0011246444150258023
PNW,5.320523997105696e-06,0.01842400203721234,0.0008857274842087499,0.522196261682243,-39.27606102897114,163,0.7524437663679441,-0.0005001277312350554,-0.00617276826287851,-0.024761738828942625,-0.04433179961804719,0.0005349192354264535,63.798951240866124,-0.043270698874538764
POOL,0.0016905717535374324,0.021270138419689173,0.0017301917640324001,0.544392523364486,-28.906780178264025,78,0.8808288499274902,0.0010988818156925726,0.07388405770952093,-0.029076005718759998,-0.04846450389032772,0.0006058769795201585,0.26761288744241407,0.05900705153971694
